"Transmitter","River","Date","FL"
30559,YR,Yr2/10,129
30560,YR,Yr2/10,128
30583,CR,Yr2/10,141
30584,CR,Yr2/10,132
30582,CR,Yr2/10,132
30574,CR,Yr2/10,134
30580,CR,Yr2/10,142
30576,CR,Yr2/10,177
30575,CR,Yr2/10,158
30578,CR,Yr2/10,188
30577,CR,Yr2/10,177
30609,SR,Yr2/10,181
30611,SR,Yr2/10,148.6
30613,SR,Yr2/10,147.6
30610,SR,Yr2/10,133.8
30615,SR,Yr2/10,157
30617,SR,Yr2/10,129
30619,SR,Yr2/10,129.4
30620,SR,Yr2/10,135.6
30612,SR,Yr2/10,134.8
46197,ER,Yr2/10,131
46203,ER,Yr2/10,125
46201,ER,Yr2/10,126
46204,ER,Yr2/10,151
31759,CR,Yr2/10,133
31752,CR,Yr2/10,126
31757,CR,Yr2/10,142
31755,CR,Yr2/10,139
31749,CR,Yr2/10,128
30579,CR,Yr2/10,177
30581,CR,Yr2/10,142
30601,SR,Yr2/10,143.1
30603,SR,Yr2/10,167.4
30605,SR,Yr2/10,147.4
30607,SR,Yr2/10,129
30608,SR,Yr2/10,162.4
30604,SR,Yr2/10,141.6
30602,SR,Yr2/10,129.2
30606,SR,Yr2/10,140
30618,SR,Yr2/10,135
30616,SR,Yr2/10,141.6
30590,ER,Yr2/10,137
30598,ER,Yr2/10,137
30593,ER,Yr2/10,148
30594,ER,Yr2/10,126
30599,ER,Yr2/10,144
46198,ER,Yr2/10,149
30596,AR,Yr2/10,141
29957,AR,Yr2/10,162
29958,AR,Yr2/10,134
30595,AR,Yr2/10,141
29956,AR,Yr2/10,155
30600,ER,Yr2/10,151
29959,AR,Yr2/11,144
29962,AR,Yr2/11,126
29961,AR,Yr2/11,136
29965,AR,Yr2/11,147
30589,PR,Yr2/11,146.1
29966,AR,Yr2/11,152
30591,AR,Yr2/11,156
46202,AR,Yr2/11,154
46430,BR,Yr1/9,116
46576,PR,Yr1/9,106
46574,PR,Yr1/9,53
46569,PR,Yr1/9,51
46571,PR,Yr1/9,57
45765,PE,Yr1/9,121
45727,PE,Yr1/9,120
45747,PE,Yr1/9,123.5
46216,YR,Yr1/10,121
45749,PE,Yr1/10,113
46567,PR,Yr1/10,102
45729,PE,Yr1/10,119
46039,CR,Yr1/10,121
46034,CR,Yr1/10,114
46035,CR,Yr1/10,89
46036,CR,Yr1/10,118
46037,CR,Yr1/10,111
46042,CR,Yr1/10,120
46044,CR,Yr1/10,105
46047,CR,Yr1/10,105
45709,ER,Yr1/10,111
46049,CR,Yr1/10,99
46050,CR,Yr1/10,118
46051,CR,Yr1/10,104
46052,CR,Yr1/10,113
45715,ER,Yr1/10,103
45739,BR,Yr1/10,121
45713,ER,Yr1/10,109
45736,ER,Yr1/10,107
45655,PR,Yr1/10,114
46575,PR,Yr1/10,93
46568,PR,Yr1/11,98
46572,PR,Yr1/11,87
45656,PR,Yr1/11,105
45652,PR,Yr1/11,53.5
45653,PR,Yr1/11,57
56570,PR,Yr1/11,102
6505,OR,Yr2/8,95
6513,OR,Yr2/8,90
6509,OR,Yr2/8,98
6508,OR,Yr2/8,97
45053,PR,Yr2/9,104
40497,PR,Yr2/9,51
40498,PR,Yr2/9,69
2636,PR,Yr2/9,45
31733,CR,Yr2/10,104
30543,BR,Yr2/10,122
30561,YR,Yr2/10,122
2640,PR,Yr2/10,40.8
2635,PR,Yr2/10,50
30541,BR,Yr2/10,123
30536,BR,Yr2/10,123
30535,BR,Yr2/10,123
31730,CR,Yr2/10,87
31731,CR,Yr2/10,123
31732,CR,Yr2/10,102
31735,CR,Yr2/10,95
31737,CR,Yr2/10,123
31738,CR,Yr2/10,96
31739,CR,Yr2/10,67
31740,CR,Yr2/10,115
31742,CR,Yr2/10,91
31743,CR,Yr2/10,120
31792,PR,Yr2/10,67
2634,PR,Yr2/10,49.8
31747,CR,Yr2/10,119
31745,CR,Yr2/10,89
31744,CR,Yr2/10,87
31746,CR,Yr2/10,117
31754,CR,Yr2/10,114
31748,CR,Yr2/10,121
31794,PR,Yr2/10,95.6
2639,PR,Yr2/10,69.4
32248,PR,Yr2/10,124
46205,ER,Yr2/10,124
31753,CR,Yr2/10,107
31758,CR,Yr2/10,124
31756,CR,Yr2/10,110
31750,CR,Yr2/10,84
31751,CR,Yr2/10,100
30614,SR,Yr2/10,123.8
30597,AR,Yr2/10,122
40494,PR,Yr2/11,53.2
29960,AR,Yr2/11,116
29963,AR,Yr2/11,116
29964,AR,Yr2/11,116
46196,AR,Yr2/11,115
46199,AR,Yr2/11,115
46200,AR,Yr2/11,109
29967,AR,Yr2/11,119
1121578,CR,Yr2/10,186
305082,CR,Yr2/10,132
62416,BR,Yr2/10,160
46208,PR,Yr2/10,138
45789,BR,Yr1/10,147
44398,ER,Yr2/10,149
47987,CR,Yr1/6,133
46449,ER,Yr1/9,145
46420,BR,Yr1/9,153
46220,YR,Yr1/10,156
46166,YR,Yr1/10,146
45760,BR,Yr1/10,167
45863,CR,Yr1/10,136
45866,CR,Yr1/2,146
45867,CR,Yr1/10,144
46183,CR,Yr1/10,133
45756,ER,Yr1/10,138
45724,ER,Yr1/10,141
45734,BR,Yr1/10,142
46178,AR,Yr1/11,138
45761,ER,Yr1/10,120
45763,BR,Yr1/10,120
45726,ER,Yr1/10,121
