"","vTagID","Date","System","FL_mm","asDate","Year","Month","Day"
"742",29875,"9/20/2012","Yellow",1810,"2012-09-20","2012","09","20"
"358",28180,"10/6/2012","Choctawhatchee",1180,"2012-10-06","2012","10","06"
"367",29914,"10/6/2012","Choctawhatchee",1700,"2012-10-06","2012","10","06"
"382",30179,"6/20/2013","Pearl",740,"2013-06-20","2013","06","20"
"385",6217,"7/10/2013","Pearl",503,"2013-07-10","2013","07","10"
"386",6222,"7/11/2013","Pearl",428,"2013-07-11","2013","07","11"
"546",21532,"11/6/2013","Pascagoula",704,"2013-11-06","2013","11","06"
"388",45054,"6/25/2014","Pearl",609,"2014-06-25","2014","06","25"
"391",45055,"6/25/2014","Pearl",604,"2014-06-25","2014","06","25"
"392",45052,"6/25/2014","Pearl",583,"2014-06-25","2014","06","25"
"585",21521,"10/23/2014","Pascagoula",880,"2014-10-23","2014","10","23"
"607",2657,"11/5/2014","Pascagoula",674,"2014-11-05","2014","11","05"
"509",9742,"4/28/2015","Apalachicola",1440,"2015-04-28","2015","04","28"
"511",9744,"4/28/2015","Apalachicola",1400,"2015-04-28","2015","04","28"
"514",45321,"4/28/2015","Apalachicola",1450,"2015-04-28","2015","04","28"
"505",9738,"4/29/2015","Apalachicola",1550,"2015-04-29","2015","04","29"
"506",9739,"4/30/2015","Apalachicola",1260,"2015-04-30","2015","04","30"
"508",9741,"4/30/2015","Apalachicola",1430,"2015-04-30","2015","04","30"
"510",9743,"4/30/2015","Apalachicola",1400,"2015-04-30","2015","04","30"
"507",9740,"5/30/2015","Apalachicola",1700,"2015-05-30","2015","05","30"
"704",22904,"6/4/2015","Escambia",1450,"2015-06-04","2015","06","04"
"721",22903,"6/4/2015","Escambia",1720,"2015-06-04","2015","06","04"
"703",22922,"6/10/2015","Escambia",1220,"2015-06-10","2015","06","10"
"708",22908,"6/10/2015","Escambia",1300,"2015-06-10","2015","06","10"
"716",22921,"6/10/2015","Escambia",1800,"2015-06-10","2015","06","10"
"717",22905,"6/10/2015","Escambia",1460,"2015-06-10","2015","06","10"
"706",22912,"6/12/2015","Escambia",1970,"2015-06-12","2015","06","12"
"711",22910,"6/12/2015","Escambia",1550,"2015-06-12","2015","06","12"
"712",22909,"6/12/2015","Escambia",1100,"2015-06-12","2015","06","12"
"713",22911,"6/12/2015","Escambia",1540,"2015-06-12","2015","06","12"
"714",22914,"6/12/2015","Escambia",2090,"2015-06-12","2015","06","12"
"715",22906,"6/12/2015","Escambia",1510,"2015-06-12","2015","06","12"
"719",22907,"6/12/2015","Escambia",1350,"2015-06-12","2015","06","12"
"705",22915,"6/16/2015","Escambia",1850,"2015-06-16","2015","06","16"
"707",22916,"6/16/2015","Escambia",1450,"2015-06-16","2015","06","16"
"709",22917,"6/16/2015","Escambia",1300,"2015-06-16","2015","06","16"
"710",22913,"6/16/2015","Escambia",2030,"2015-06-16","2015","06","16"
"718",22920,"6/16/2015","Escambia",1450,"2015-06-16","2015","06","16"
"722",22919,"6/16/2015","Escambia",1260,"2015-06-16","2015","06","16"
"614",21541,"9/25/2015","Pascagoula",1594,"2015-09-25","2015","09","25"
"615",21537,"9/25/2015","Pascagoula",1600,"2015-09-25","2015","09","25"
"616",21539,"9/25/2015","Pascagoula",1256,"2015-09-25","2015","09","25"
"617",21535,"9/25/2015","Pascagoula",1075,"2015-09-25","2015","09","25"
"618",21533,"9/25/2015","Pascagoula",1208,"2015-09-25","2015","09","25"
"619",21540,"9/29/2015","Pascagoula",1660,"2015-09-29","2015","09","29"
"658",45742,"10/5/2015","Pearl",1160,"2015-10-05","2015","10","05"
"620",21538,"10/6/2015","Pascagoula",1528,"2015-10-06","2015","10","06"
"621",21542,"10/6/2015","Pascagoula",822,"2015-10-06","2015","10","06"
"622",21536,"10/6/2015","Pascagoula",1290,"2015-10-06","2015","10","06"
"659",25411,"10/6/2015","Pearl",1025,"2015-10-06","2015","10","06"
"660",25410,"10/6/2015","Pearl",1090,"2015-10-06","2015","10","06"
"623",57442,"10/7/2015","Pascagoula",652,"2015-10-07","2015","10","07"
"594",57444,"10/14/2015","Pascagoula",1158,"2015-10-14","2015","10","14"
"625",21531,"10/14/2015","Pascagoula",1160,"2015-10-14","2015","10","14"
"627",57443,"10/14/2015","Pascagoula",638,"2015-10-14","2015","10","14"
"628",21524,"10/15/2015","Pascagoula",1642,"2015-10-15","2015","10","15"
"629",21523,"10/15/2015","Pascagoula",799,"2015-10-15","2015","10","15"
"557",57445,"10/20/2015","Pascagoula",592,"2015-10-20","2015","10","20"
"630",57447,"10/20/2015","Pascagoula",632,"2015-10-20","2015","10","20"
"631",21522,"10/21/2015","Pascagoula",784,"2015-10-21","2015","10","21"
"632",21520,"10/21/2015","Pascagoula",978,"2015-10-21","2015","10","21"
"633",21528,"10/21/2015","Pascagoula",835,"2015-10-21","2015","10","21"
"634",21525,"10/22/2015","Pascagoula",1010,"2015-10-22","2015","10","22"
"402",20809,"5/24/2016","Choctawhatchee",1340,"2016-05-24","2016","05","24"
"403",20810,"5/24/2016","Choctawhatchee",1500,"2016-05-24","2016","05","24"
"404",20811,"5/24/2016","Choctawhatchee",1570,"2016-05-24","2016","05","24"
"405",20812,"5/24/2016","Choctawhatchee",1330,"2016-05-24","2016","05","24"
"406",20813,"5/24/2016","Choctawhatchee",1440,"2016-05-24","2016","05","24"
"407",20814,"5/24/2016","Choctawhatchee",1800,"2016-05-24","2016","05","24"
"408",20815,"5/24/2016","Choctawhatchee",1520,"2016-05-24","2016","05","24"
"409",20816,"5/24/2016","Choctawhatchee",1320,"2016-05-24","2016","05","24"
"410",20817,"5/24/2016","Choctawhatchee",1210,"2016-05-24","2016","05","24"
"411",20818,"5/24/2016","Choctawhatchee",1320,"2016-05-24","2016","05","24"
